,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
78,olot,100.0,ES,1579969638.0,80.0,42.18,2.49,13.89,1.11
79,yulara,0.0,AU,1579969638.0,17.0,-25.24,130.99,27.68,4.76
80,yuzhno-yeniseyskiy,,,,,,,,
81,halalo,,,,,,,,
82,rio grande,33.0,BR,1579969568.0,39.0,-32.03,-52.1,33.33,0.45
83,bluff,61.0,NZ,1579969388.0,91.0,-46.6,168.33,11.67,1.25
84,hilo,14.0,US,1579969342.0,94.0,19.73,-155.09,20.0,0.89
85,saint-philippe,75.0,RE,1579969340.0,83.0,-21.36,55.77,25.0,9.3
86,cape town,75.0,ZA,1579969363.0,82.0,-33.93,18.42,21.11,6.7
87,ribeira grande,100.0,PT,1579969639.0,90.0,38.52,-28.7,13.7,4.14
88,tsihombe,,,,,,,,
89,petropavlovsk-kamchatskiy,100.0,RU,1579969426.0,80.0,53.05,158.65,-12.07,6.57
90,gornopravdinsk,100.0,RU,1579969640.0,96.0,60.05,69.9,-15.88,2.93
91,festus,90.0,US,1579969640.0,86.0,38.22,-90.4,1.11,4.6
92,fasa,0.0,IR,1579969640.0,50.0,28.94,53.65,4.37,1.63
93,sekudai,23.0,MY,1579969640.0,89.0,1.53,103.67,26.67,2.65
94,busselton,42.0,AU,1579969640.0,52.0,-33.65,115.33,20.0,5.49
95,svetlogorsk,100.0,BY,1579969640.0,87.0,52.63,29.73,1.98,6.36
96,vaini,91.0,TO,1579969394.0,86.0,-21.2,-175.2,25.7,9.71
97,atuona,3.0,PF,1579969394.0,76.0,-9.8,-139.03,26.93,6.35
98,airai,100.0,TL,1579969407.0,96.0,-8.93,125.41,20.71,0.3
99,provideniya,0.0,RU,1579969641.0,88.0,64.38,-173.3,-22.28,2.0
100,amapa,72.0,BR,1579969641.0,57.0,1.0,-52.0,31.12,1.92
101,tsiroanomandidy,71.0,MG,1579969641.0,86.0,-18.77,46.03,24.08,2.01
102,albany,75.0,US,1579969642.0,80.0,42.6,-73.97,5.0,1.5
103,cabo san lucas,99.0,MX,1579969497.0,82.0,22.89,-109.91,20.0,0.52
104,pisco,100.0,PE,1579969455.0,75.0,-13.7,-76.22,26.11,4.02
105,neosho,90.0,US,1579969642.0,81.0,36.87,-94.37,2.22,1.5
106,castro,69.0,BR,1579969405.0,49.0,-24.79,-50.01,24.6,2.92
107,campbell river,90.0,CA,1579969642.0,100.0,50.02,-125.24,6.0,4.1
108,asau,0.0,RO,1579969643.0,56.0,46.43,26.4,3.33,2.24
109,hervey bay,82.0,AU,1579969643.0,85.0,-25.3,152.85,25.0,1.34
110,cairns,99.0,AU,1579969603.0,97.0,-16.92,145.77,25.56,2.47
111,qaanaaq,4.0,GL,1579969419.0,54.0,77.48,-69.36,-25.52,1.45
112,chernyshevskiy,94.0,RU,1579969643.0,99.0,63.01,112.47,-24.76,1.17
113,ondorhaan,,,,,,,,
114,hobart,100.0,AU,1579969418.0,75.0,-42.88,147.33,18.89,0.45
